0.2;1.75;1;67
0.2;1.75;1.5;67
0.2;2;1;69
0.2;2;1.5;69
0.2;2.25;1;69
0.2;2.25;1.5;69
0.2;2.5;1;70
0.2;2.5;1.5;69
0.2;2.75;1;71
0.2;2.75;1.5;69
0.2;3;1;71
0.2;3;1.5;71
0.2;3.25;1;70
0.2;3.25;1.5;70
0.3;1.75;1;68
0.3;1.75;1.5;67
0.3;2;1;69
0.3;2;1.5;67
0.3;2.25;1;70
0.3;2.25;1.5;68
0.3;2.5;1;69
0.3;2.5;1.5;69
0.3;2.75;1;70
0.3;2.75;1.5;71
0.3;3;1;71
0.3;3;1.5;71
0.3;3.25;1;70
0.3;3.25;1.5;70
0.4;1.75;1;67
0.4;1.75;1.5;67
0.4;2;1;69
0.4;2;1.5;68
0.4;2.25;1;69
0.4;2.25;1.5;69
0.4;2.5;1;68
0.4;2.5;1.5;71
0.4;2.75;1;70
0.4;2.75;1.5;70
0.4;3;1;70
0.4;3;1.5;71
0.4;3.25;1;71
0.4;3.25;1.5;72
0.5;1.75;1;67
0.5;1.75;1.5;67
0.5;2;1;68
0.5;2;1.5;67
0.5;2.25;1;69
0.5;2.25;1.5;70
0.5;2.5;1;68
0.5;2.5;1.5;69
0.5;2.75;1;70
0.5;2.75;1.5;70
0.5;3;1;71
0.5;3;1.5;70
0.5;3.25;1;71
0.5;3.25;1.5;70
0.6;1.75;1;66
0.6;1.75;1.5;68
0.6;2;1;68
0.6;2;1.5;68
0.6;2.25;1;69
0.6;2.25;1.5;68
0.6;2.5;1;69
0.6;2.5;1.5;70
0.6;2.75;1;69
0.6;2.75;1.5;69
0.6;3;1;69
0.6;3;1.5;70
0.6;3.25;1;71
0.6;3.25;1.5;71
0.7;1.75;1;68
0.7;1.75;1.5;67
0.7;2;1;67
0.7;2;1.5;66
0.7;2.25;1;69
0.7;2.25;1.5;68
0.7;2.5;1;69
0.7;2.5;1.5;68
0.7;2.75;1;71
0.7;2.75;1.5;69
0.7;3;1;69
0.7;3;1.5;70
0.7;3.25;1;70
0.7;3.25;1.5;71
